rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_eco,opening_name,opening_ply
False,2017-08-31 20:06:40,2017-08-31 20:06:40,13,outoftime,white,15+2,1500,1191,D10,Slav Defense: Exchange Variation,5
True,2017-08-30 21:53:20,2017-08-30 21:53:20,16,resign,black,5+10,1322,1261,B00,Nimzowitsch Defense: Kennedy Variation,4
True,2017-08-30 21:53:20,2017-08-30 21:53:20,61,mate,white,5+10,1496,1500,C20,King's Pawn Game: Leonardis Variation,3
True,2017-08-30 16:20:00,2017-08-30 16:20:00,61,mate,white,20+0,1439,1454,D02,Queen's Pawn Game: Zukertort Variation,3
True,2017-08-29 18:06:40,2017-08-29 18:06:40,95,mate,white,30+3,1523,1469,C41,Philidor Defense,5
False,2017-09-01 04:26:40,2017-09-01 04:26:40,5,draw,draw,10+0,1250,1002,B27,Sicilian Defense: Mongoose Variation,4
True,2017-09-01 01:40:00,2017-09-01 01:40:00,33,resign,white,10+0,1520,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10
False,2017-08-25 16:53:20,2017-08-25 16:53:20,9,resign,black,15+30,1413,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
True,2017-08-23 17:40:00,2017-08-23 17:40:00,66,resign,black,15+0,1439,1392,C50,Italian Game: Schilling-Kostic Gambit,6
True,2017-08-22 22:13:20,2017-08-22 22:13:20,119,mate,white,10+0,1381,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
False,2017-08-21 21:13:20,2017-08-21 21:13:20,39,mate,white,20+60,1381,1272,A00,Van't Kruijs Opening,1
False,2017-08-21 21:13:20,2017-08-21 21:13:20,38,resign,black,20+60,1381,1867,C02,French Defense: Advance Variation |  Paulsen Attack,9
False,2017-08-21 21:13:20,2017-08-21 21:13:20,60,resign,black,5+40,1381,1936,C00,French Defense: Knight Variation,3
False,2017-08-21 18:26:40,2017-08-21 18:26:40,31,resign,black,8+0,1381,1607,C00,French Defense #2,2
False,2017-08-30 10:46:40,2017-08-30 13:33:20,31,mate,white,15+15,1094,1141,C50,Four Knights Game: Italian Variation,8
False,2017-08-30 10:46:40,2017-08-30 10:46:40,43,resign,black,15+15,1141,1094,C57,Italian Game: Two Knights Defense |  Knight Attack,7
False,2017-08-30 10:46:40,2017-08-30 10:46:40,52,resign,black,15+15,1094,1141,C50,Four Knights Game: Italian Variation,8
False,2017-08-29 12:33:20,2017-08-29 12:33:20,66,mate,black,15+16,1141,1094,C50,Four Knights Game: Italian Variation,8
False,2017-08-29 12:33:20,2017-08-29 12:33:20,101,resign,black,15+15,1094,1300,C41,Philidor Defense #3,5
False,2017-08-26 15:06:40,2017-08-26 15:06:40,25,resign,white,11+0,1500,1094,D00,Queen's Pawn Game,2
False,2017-08-17 06:06:40,2017-08-17 06:06:40,14,resign,black,15+15,1094,1676,C55,Italian Game: Anti-Fried Liver Defense,6
False,2017-08-17 06:06:40,2017-08-17 06:06:40,3,resign,white,30+60,1094,1068,A40,Horwitz Defense,2
False,2017-08-17 06:06:40,2017-08-17 06:06:40,17,resign,white,15+5,1500,1094,B20,Sicilian Defense: Bowdler Attack,3
True,2017-08-17 06:06:40,2017-08-17 06:06:40,36,resign,white,10+0,1307,1106,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4
True,2017-08-16 05:06:40,2017-08-16 05:06:40,13,resign,black,10+0,1113,1423,B21,Sicilian Defense: Smith-Morra Gambit #2,3
True,2017-08-15 06:53:20,2017-08-15 06:53:20,69,mate,white,10+10,1078,1219,D01,Queen's Pawn Game: Chigorin Variation,4
True,2017-08-15 06:53:20,2017-08-15 06:53:20,43,resign,white,10+10,1825,1079,C45,Scotch Game: Haxo Gambit,8
True,2017-08-15 06:53:20,2017-08-15 06:53:20,54,mate,black,10+10,1328,1038,D01,Queen's Pawn Game: Chigorin Variation,4
True,2017-08-15 06:53:20,2017-08-15 06:53:20,53,resign,black,10+10,1056,1156,D10,Slav Defense,4
True,2017-08-15 06:53:20,2017-08-15 06:53:20,66,mate,black,10+10,1077,1148,D06,Queen's Gambit Refused: Marshall Defense,4
True,2017-08-15 06:53:20,2017-08-15 06:53:20,64,resign,black,10+10,1358,1036,B21,Sicilian Defense: Smith-Morra Gambit #2,3
True,2017-08-15 06:53:20,2017-08-15 06:53:20,64,mate,black,10+10,1200,1002,B52,Sicilian Defense: Canal Attack |  Main Line,6
True,2017-08-15 06:53:20,2017-08-15 06:53:20,54,resign,white,10+10,1203,1019,B27,Sicilian Defense,3
False,2017-08-14 14:13:20,2017-08-14 14:13:20,21,resign,black,15+3,1019,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
False,2017-08-11 05:40:00,2017-08-11 05:40:00,11,resign,white,18+0,1422,975,B20,Sicilian Defense: Bowdler Attack,3
True,2017-08-11 05:40:00,2017-08-11 05:40:00,19,resign,black,10+0,976,1832,B06,Robatsch (Modern) Defense,4
True,2017-08-11 05:40:00,2017-08-11 05:40:00,28,resign,white,10+0,1569,978,D00,Blackmar-Diemer Gambit: Tartakower Variation,10
False,2017-08-08 16:33:20,2017-08-08 16:33:20,22,resign,black,15+0,978,1500,A45,Indian Game,2
